area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	80:JOHN P. MCDONNELL	81:PHIL TING
ALLPCTS	TO	211477	128119	0	24	17374	110721	158	19794	90769
ALLPCTS	ED	41560	45271	0	10	8303	36958	158	5878	30922
ALLPCTS	MV	169917	82848	0	14	9071	73763	0	13916	59847
PCT1101	MV	448	216	0	0	10	206	0	30	176
PCT1101	ED	114	93	0	0	18	75	0	12	63
PCT1101	TO	562	309	0	0	28	281	0	42	239
PCT1102	MV	774	370	0	0	29	341	0	71	270
PCT1102	ED	230	209	0	0	36	173	0	17	156
PCT1102	TO	1004	579	0	0	65	514	0	88	426
PCT1103	MV	749	373	0	0	24	349	0	65	284
PCT1103	ED	222	194	0	0	27	167	0	17	150
PCT1103	TO	971	567	0	0	51	516	0	82	434
PCT1104	MV	751	343	0	0	31	312	0	49	263
PCT1104	ED	267	169	0	0	36	133	0	27	106
PCT1104	TO	1018	512	0	0	67	445	0	76	369
PCT1106	MV	598	255	0	0	28	227	0	54	173
PCT1106	ED	173	149	0	0	21	128	0	16	112
PCT1106	TO	771	404	0	0	49	355	0	70	285
PCT1107	MV	612	288	0	0	31	257	0	32	225
PCT1107	ED	139	125	0	0	20	105	0	12	93
PCT1107	TO	751	413	0	0	51	362	0	44	318
PCT1108	MV	725	360	0	0	35	325	0	47	278
PCT1108	ED	198	159	0	0	27	132	0	19	113
PCT1108	TO	923	519	0	0	62	457	0	66	391
PCT1109	MV	653	285	0	0	24	261	0	42	219
PCT1109	ED	169	141	0	0	28	113	0	19	94
PCT1109	TO	822	426	0	0	52	374	0	61	313
PCT1111	MV	849	354	0	0	39	315	0	69	246
PCT1111	ED	197	189	0	0	35	154	0	23	131
PCT1111	TO	1046	543	0	0	74	469	0	92	377
PCT1112	MV	643	280	0	0	27	253	0	42	211
PCT1112	ED	159	119	0	0	27	92	0	11	81
PCT1112	TO	802	399	0	0	54	345	0	53	292
PCT1113	MV	675	286	0	0	32	254	0	46	208
PCT1113	ED	120	108	0	0	27	81	0	12	69
PCT1113	TO	795	394	0	0	59	335	0	58	277
PCT1114	MV	769	328	0	1	34	293	0	55	238
PCT1114	ED	222	167	0	0	52	115	0	15	100
PCT1114	TO	991	495	0	1	86	408	0	70	338
PCT1115	MV	743	295	0	0	23	272	0	51	221
PCT1115	ED	193	131	0	0	28	103	0	6	97
PCT1115	TO	936	426	0	0	51	375	0	57	318
PCT1116	MV	715	309	0	0	39	270	0	54	216
PCT1116	ED	216	197	0	0	36	161	0	21	140
PCT1116	TO	931	506	0	0	75	431	0	75	356
PCT1117	MV	665	259	0	0	20	239	0	34	205
PCT1117	ED	181	152	0	0	23	129	0	20	109
PCT1117	TO	846	411	0	0	43	368	0	54	314
PCT1118	MV	846	366	0	0	36	330	0	49	281
PCT1118	ED	219	164	0	0	29	135	0	16	119
PCT1118	TO	1065	530	0	0	65	465	0	65	400
PCT1119	MV	659	305	0	0	32	273	0	46	227
PCT1119	ED	138	117	0	0	23	94	0	15	79
PCT1119	TO	797	422	0	0	55	367	0	61	306
PCT1121	MV	556	269	0	0	36	233	0	58	175
PCT1121	ED	149	123	0	0	21	102	0	15	87
PCT1121	TO	705	392	0	0	57	335	0	73	262
PCT1122	MV	519	247	0	0	24	223	0	58	165
PCT1122	ED	118	97	0	0	15	82	0	14	68
PCT1122	TO	637	344	0	0	39	305	0	72	233
PCT1123	MV	730	258	0	0	30	228	0	45	183
PCT1123	ED	208	151	0	0	19	132	0	14	118
PCT1123	TO	938	409	0	0	49	360	0	59	301
PCT1124	MV	631	246	0	0	22	224	0	41	183
PCT1124	ED	198	125	0	1	19	105	0	18	87
PCT1124	TO	829	371	0	1	41	329	0	59	270
PCT1125	MV	919	365	0	0	33	332	0	67	265
PCT1125	ED	178	115	0	0	32	83	0	14	69
PCT1125	TO	1097	480	0	0	65	415	0	81	334
PCT1126	MV	812	308	0	0	11	297	0	35	262
PCT1126	ED	200	108	0	0	16	92	0	24	68
PCT1126	TO	1012	416	0	0	27	389	0	59	330
PCT1127	MV	743	295	0	0	24	271	0	60	211
PCT1127	ED	222	148	0	0	25	123	0	25	98
PCT1127	TO	965	443	0	0	49	394	0	85	309
PCT1128	MV	734	287	0	0	25	262	0	73	189
PCT1128	ED	145	108	0	0	16	92	0	17	75
PCT1128	TO	879	395	0	0	41	354	0	90	264
PCT1129	MV	790	314	0	0	26	288	0	70	218
PCT1129	ED	246	146	0	0	23	123	0	28	95
PCT1129	TO	1036	460	0	0	49	411	0	98	313
PCT1131	MV	694	280	0	0	23	257	0	62	195
PCT1131	ED	166	111	0	0	27	84	0	12	72
PCT1131	TO	860	391	0	0	50	341	0	74	267
PCT1132	MV	838	370	0	0	31	339	0	63	276
PCT1132	ED	194	103	0	0	19	84	0	20	64
PCT1132	TO	1032	473	0	0	50	423	0	83	340
PCT1133	MV	716	336	0	0	31	305	0	63	242
PCT1133	ED	159	113	0	0	16	97	0	17	80
