area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	097:PHIL TING	098:KEITH BOGDON
ALLPCTS	TO	209453	158021	44	37	8898	149042	125804	23238
ALLPCTS	ED	209453	54154	34	12	3790	50318	42830	7488
ALLPCTS	MV	209453	103867	10	25	5108	98724	82974	15750
PCT1101	ED	553	126	0	0	6	120	107	13
PCT1101	MV	553	266	0	0	8	258	224	34
PCT1102	ED	995	266	0	0	17	249	227	22
PCT1102	MV	995	480	0	0	10	470	388	82
PCT1103	ED	951	246	1	0	17	228	200	28
PCT1103	MV	951	445	0	0	11	434	357	77
PCT1104	ED	993	249	0	0	18	231	197	34
PCT1104	MV	993	414	0	0	17	397	343	54
PCT1106	ED	765	191	0	0	11	180	154	26
PCT1106	MV	765	343	0	0	13	330	263	67
PCT1107	ED	746	163	0	0	9	154	141	13
PCT1107	MV	746	336	0	0	21	315	271	44
PCT1108	ED	909	232	0	0	15	217	196	21
PCT1108	MV	909	438	0	0	15	423	389	34
PCT1109	ED	798	166	0	0	16	150	127	23
PCT1109	MV	798	365	0	0	24	341	287	54
PCT1111	ED	1002	205	0	0	24	181	157	24
PCT1111	MV	1002	460	0	0	22	438	364	74
PCT1112	ED	769	151	0	0	17	134	121	13
PCT1112	MV	769	344	0	0	10	334	299	35
PCT1113	ED	746	135	0	1	8	126	110	16
PCT1113	MV	746	360	0	0	29	331	280	51
PCT1114	ED	957	226	0	0	34	192	159	33
PCT1114	MV	957	404	0	0	29	375	308	67
PCT1115	ED	895	174	0	0	11	163	151	12
PCT1115	MV	895	371	0	1	22	348	301	47
PCT1116	ED	895	225	0	0	18	207	197	10
PCT1116	MV	895	376	0	0	24	352	302	50
PCT1117	ED	858	185	0	0	20	165	147	18
PCT1117	MV	858	357	0	0	26	331	287	44
PCT1118	ED	1043	213	0	0	17	196	176	20
PCT1118	MV	1043	476	0	0	23	453	385	68
PCT1119	ED	791	165	0	0	23	142	123	19
PCT1119	MV	791	386	0	0	18	368	317	51
PCT1121	ED	691	160	0	1	14	145	117	28
PCT1121	MV	691	313	0	1	31	281	235	46
PCT1122	ED	632	110	0	0	9	101	88	13
PCT1122	MV	632	310	0	0	29	281	235	46
PCT1123	ED	915	179	0	0	9	170	156	14
PCT1123	MV	915	364	0	0	23	341	287	54
PCT1124	ED	819	152	0	1	11	140	120	20
PCT1124	MV	819	302	0	1	11	290	253	37
PCT1125	ED	1047	159	0	0	16	143	114	29
PCT1125	MV	1047	466	0	0	14	452	381	71
PCT1126	ED	922	191	0	0	16	175	152	23
PCT1126	MV	922	400	0	0	20	380	332	48
PCT1127	ED	920	200	0	0	14	186	151	35
PCT1127	MV	920	382	0	0	19	363	297	66
PCT1128	ED	838	154	0	0	6	148	124	24
PCT1128	MV	838	362	0	0	14	348	290	58
PCT1129	ED	980	227	0	0	17	210	168	42
PCT1129	MV	980	416	0	0	10	406	334	72
PCT1131	ED	797	132	0	0	11	121	107	14
PCT1131	MV	797	371	0	0	11	360	279	81
PCT1132	ED	969	179	0	0	15	164	149	15
PCT1132	MV	969	427	0	0	35	392	333	59
PCT1133	ED	863	161	0	0	14	147	131	16
PCT1133	MV	863	410	0	0	20	390	309	81
PCT1134	ED	759	170	0	0	27	143	128	15
PCT1134	MV	759	318	0	1	15	302	252	50
PCT1135	ED	540	87	0	0	5	82	67	15
PCT1135	MV	540	295	0	0	16	279	235	44
PCT1136	ED	829	144	0	0	12	132	113	19
PCT1136	MV	829	412	0	0	15	397	337	60
PCT9001	MV	273	142	0	0	6	136	114	22
PCT9101	ED	888	260	0	1	8	251	214	37
PCT9101	MV	888	438	0	1	27	410	344	66
PCT9102	ED	985	257	0	0	12	245	197	48
PCT9102	MV	985	471	0	0	16	455	378	77
PCT9103	ED	954	273	0	0	14	259	214	45
PCT9103	MV	954	431	0	0	28	403	341	62
PCT9104	ED	988	239	0	0	24	215	192	23
PCT9104	MV	988	465	0	0	25	440	371	69
PCT9105	ED	919	247	0	0	18	229	195	34
PCT9105	MV	919	488	0	0	33	455	395	60
PCT9106	ED	937	268	1	0	11	256	224	32
PCT9106	MV	937	497	0	1	29	467	408	59
PCT9107	ED	849	219	0	0	9	210	183	27
PCT9107	MV	849	372	0	0	21	351	299	52
PCT9108	ED	790	247	0	0	9	238	212	26
PCT9108	MV	790	373	1	0	15	357	316	41
PCT9109	ED	884	263	0	0	18	245	208	37
PCT9109	MV	884	428	0	0	16	412	371	41
PCT9111	ED	779	229	0	1	11	217	188	29
PCT9111	MV	779	346	0	1	18	327	278	49
PCT9112	ED	976	284	0	0	15	269	239	30
PCT9112	MV	976	467	0	1	22	444	402	42
PCT9113	ED	999	311	0	0	17	294	254	40
PCT9113	MV	999	505	0	0	27	478	417	61
PCT9114	ED	877	263	0	0	19	244	218	26
PCT9114	MV	877	405	0	0	14	391	341	50
PCT9115	ED	911	258	0	0	16	242	223	19
PCT9115	MV	911	429	0	0	25	404	359	45
PCT9116	ED	944	281	1	0	12	268	234	34
PCT9116	MV	944	473	0	0	25	448	397	51
PCT9117	ED	783	222	0	0	5	217	187	30
PCT9117	MV	783	398	0	0	15	383	333	50
PCT9118	ED	974	286	0	0	21	265	230	35
PCT9118	MV	974	426	0	0	23	403	346	57
PCT9119	ED	891	237	0	0	21	216	187	29
