contest_id2	cand_id2	contest_id1	cand_id1	cand_seq	cand_name2	cand_name1
1c0b6535-0a11-4c7e-9075-233f0a5fc211	08124	349	24	1	JOSÉ CISNEROS	JOSÉ CISNEROS
334	0101	334	1	1	JOEL VENTRESCA	JOEL VENTRESCA
334	0102	334	2	2	WILMA PANG	WILMA PANG
334	0103	334	3	3	ROBERT L. JORDAN, JR.	ROBERT L. JORDAN, JR.
334	0104	334	4	4	PAUL YBARRA ROBERTSON	PAUL YBARRA ROBERTSON
334	0105	334	5	5	ELLEN LEE ZHOU	ELLEN LEE ZHOU
334	0106	334	6	6	LONDON N. BREED	LONDON N. BREED
334	53	334	53	7	MARC ROTH	MARC ROTH
342	13032	342	32	1	YES	YES
342	13033	342	33	2	NO	NO
343	14032	343	34	1	YES	YES
343	14033	343	35	2	NO	NO
344	15032	344	36	1	YES	YES
344	15033	344	37	2	NO	NO
345	16032	345	38	1	YES	YES
345	16033	345	39	2	NO	NO
346	17032	346	40	1	YES	YES
346	17033	346	41	2	NO	NO
351	11030	351	30	1	IVY LEE	IVY LEE
354	18032	354	42	1	YES	YES
354	18033	354	43	2	NO	NO
361	10026	361	26	1	JENNY LAM	JENNY LAM
361	10027	361	27	2	KIRSTEN STROBEL	KIRSTEN STROBEL
361	10028	361	28	3	ROBERT K. COLEMAN	ROBERT K. COLEMAN
479e7108-5b99-4821-966a-b78eabcfc581	06120	360	20	1	MANOHAR "MANO" RAJU	MANOHAR "MANO" RAJU
91e909f7-cfae-4478-952a-dd0ff37dd9ce	02110	353	10	3	NOMVULA O'MEARA	NOMVULA O'MEARA
91e909f7-cfae-4478-952a-dd0ff37dd9ce	02111	353	11	4	VALLIE BROWN	VALLIE BROWN
91e909f7-cfae-4478-952a-dd0ff37dd9ce	0218	353	8	1	RYAN LAM	RYAN LAM
91e909f7-cfae-4478-952a-dd0ff37dd9ce	0219	353	9	2	DEAN PRESTON	DEAN PRESTON
aa114170-bb7f-477a-ac90-f5b343adcd1a	04113	352	13	1	DENNIS J. HERRERA	DENNIS J. HERRERA
e56eaea1-da96-41f9-8d4b-a3f1733480bd	05115	339	15	1	SUZY LOFTUS	SUZY LOFTUS
e56eaea1-da96-41f9-8d4b-a3f1733480bd	05116	339	16	2	LEIF DAUTCH	LEIF DAUTCH
e56eaea1-da96-41f9-8d4b-a3f1733480bd	05117	339	17	3	NANCY TUNG	NANCY TUNG
e56eaea1-da96-41f9-8d4b-a3f1733480bd	05118	339	18	4	CHESA BOUDIN	CHESA BOUDIN
f0f07583-b641-47d3-9b9f-1c51dc824513	07122	350	22	1	PAUL MIYAMOTO	PAUL MIYAMOTO
